station_name,line_name
Angrignon,Green Line
Monk,Green Line
Jolicoeur,Green Line
Verdun,Green Line
De l'Église,Green Line
LaSalle,Green Line
Charlevoix,Green Line
Lionel-Groulx,Green Line
Atwater,Green Line
Guy-Concordia,Green Line
Peel,Green Line
McGill,Green Line
Place-des-Arts,Green Line
Saint-Laurent,Green Line
Berri-UQAM,Green Line
Beaudry,Green Line
Papineau,Green Line
Frontenac,Green Line
Préfontaine,Green Line
Joliette,Green Line
Pie-IX,Green Line
Viau,Green Line
Assomption,Green Line
Cadillac,Green Line
Langelier,Green Line
Radisson,Green Line
Honoré-Beaugrand,Green Line
Côte-Vertu,Orange Line
Du Collège,Orange Line
De La Savane,Orange Line
Namur,Orange Line
Plamondon,Orange Line
Côte-Sainte-Catherine,Orange Line
Snowdon,Orange Line
Villa-Maria,Orange Line
Vendôme,Orange Line
Place-Saint-Henri,Orange Line
Lionel-Groulx,Orange Line
Georges-Vanier,Orange Line
Lucien-L'Allier,Orange Line
Bonaventure,Orange Line
Square-Victoria-OACI,Orange Line
Place-d'Armes,Orange Line
Champ-de-Mars,Orange Line
Berri-UQAM,Orange Line
Sherbrooke,Orange Line
Mont-Royal,Orange Line
Laurier,Orange Line
Rosemont,Orange Line
Beaubien,Orange Line
Jean-Talon,Orange Line
Jarry,Orange Line
Crémazie,Orange Line
Sauvé,Orange Line
Henri-Bourassa,Orange Line
Cartier,Orange Line
De La Concorde,Orange Line
Montmorency,Orange Line
Snowdon,Blue Line
Côte-des-Neiges,Blue Line
Université-de-Montréal,Blue Line
Édouard-Montpetit,Blue Line
Outremont,Blue Line
Acadie,Blue Line
Parc,Blue Line
De Castelnau,Blue Line
Jean-Talon,Blue Line
Fabre,Blue Line
D'Iberville,Blue Line
Saint-Michel,Blue Line
Berri-UQAM,Yellow Line
Jean-Drapeau,Yellow Line
Longueuil–Université-de-Sherbrooke,Yellow Line